Number_of_Referrals,Tenure_in_Months,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Monthly_Charge,Total_Regular_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Age,Number_of_Dependents,Zip_Code,Population,CLTV,Total_Customer_Svc_Requests,Product/Service_Issues_Reported,Customer_Satisfaction,Referred_a_Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone_Service_Yes,Multiple_Lines_Yes,Internet_Service_Yes,Internet_Type_DSL,Internet_Type_Fiber Optic,Internet_Type_None,Online_Security_Yes,Online_Backup_Yes,Device_Protection_Plan_Yes,Premium_Tech_Support_Yes,Streaming_TV_Yes,Streaming_Movies_Yes,Streaming_Music_Yes,Unlimited_Data_Yes,Contract_One Year,Contract_Two Year,Paperless_Billing_Yes,Payment_Method_Credit Card,Payment_Method_Mailed Check,Gender_Male,Under_30_Yes,Senior_Citizen_Yes,Married_Yes,Dependents_Yes,Churn_Category_Competitor,Churn_Category_Dissatisfaction,Churn_Category_Other,Churn_Category_Price
1,1,18.84,21,73.84,71.0,0.0,0.0,18.84,57,0,93921,2966,4207,2,0,2.993293091884641,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,62,48.58,14,104.156,6283.3,0.0,880.0,3011.96,32,0,95547,1201,4120,3,2,2.993293091884641,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,18,41.13,23,49.85,865.75,0.0,0.0,740.34,69,0,95688,32564,3283,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
1,47,38.31,8,83.564,3825.85,0.0,306.0,1800.5700000000002,73,0,91702,57775,5915,2,1,1.0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,58,49.02,0,20.8,1212.25,0.0,0.0,2843.1600000000003,29,0,95456,882,4758,1,1,2.993293091884641,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1,72,34.97,11,90.6,6441.85,0.0,709.0,2517.84,57,0,91730,51970,4528,0,0,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
0,10,7.65,17,62.25,612.95,0.0,104.0,76.5,32,0,94954,35419,3415,1,1,2.993293091884641,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10,41.37,15,99.164,898.35,0.0,135.0,413.7,71,0,92027,48690,5353,1,0,2.993293091884641,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,32,15.52,12,64.85,2010.95,0.0,0.0,496.64,43,0,95437,14417,4895,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,12,0.0,30,30.368,309.1,0.0,0.0,0.0,46,0,92117,51213,3747,4,2,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
6,59,14.49,25,65.5,3801.3,0.0,0.0,854.91,57,0,96143,4806,5631,0,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,16,25.71,48,71.4,1212.1,0.0,582.0,411.36,24,0,90275,41263,3360,3,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,33,26.8,17,91.25,2964.05,0.0,504.0,884.4,55,0,95819,15975,3296,0,0,2.993293091884641,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,16,46.99,19,75.55600000000001,1194.3,0.0,0.0,751.84,35,0,91601,36625,2850,6,2,2.993293091884641,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,16.91,0,19.65,19.65,0.0,0.0,16.91,40,0,93517,826,3192,1,1,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,63,27.38,9,58.55,3503.5,0.0,31.53,1724.9399999999998,35,0,90605,38181,6312,1,1,2.993293091884641,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,38,33.71,19,73.268,2597.6,0.0,494.0,1280.98,39,0,95956,301,5437,1,1,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
10,7,0.0,13,29.8,220.45,11.83,2.87,0.0,80,0,94530,23141,2587,0,0,2.993293091884641,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
0,4,11.5,41,94.9,360.55,0.0,148.0,46.0,25,0,95002,2147,3094,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
0,11,5.84,10,86.2,893.2,0.0,0.0,64.24,31,2,91303,23519,3157,3,0,5.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10,55,35.04,57,103.7,5656.75,0.0,0.0,1927.2,37,3,93648,12587,5892,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
5,59,47.05,24,90.3,5194.05,0.0,124.66,2775.95,50,2,95545,82,4617,0,0,2.993293091884641,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1,72,47.24,0,20.05,1423.65,0.0,0.0,3401.28,44,0,93242,2900,4747,2,1,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6,54,8.53,73,60.0,3273.95,0.0,2390.0,460.62,22,3,94706,15882,4798,2,0,3.0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
3,68,3.41,26,90.2,6297.65,0.0,0.0,231.88,27,0,90061,24511,4095,0,0,2.993293091884641,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
1,26,18.26,3,88.348,2169.75,0.0,0.0,474.7600000000001,65,0,93065,64802,4316,1,0,3.0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,20,0.0,11,25.428,482.8,0.0,53.0,0.0,44,0,93437,6165,3298,2,0,2.993293091884641,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,26.86,71,56.15,291.45,0.0,0.0,134.3,23,0,94951,3777,5232,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4,12,0.0,22,30.25,368.85,0.0,81.0,0.0,48,1,92653,48273,5988,2,1,2.993293091884641,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
8,71,26.56,7,93.25,6669.45,0.0,467.0,1885.76,40,0,90606,32148,6035,1,0,2.993293091884641,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,72,48.52,51,116.45,8013.55,0.0,0.0,3493.44,25,0,90291,31021,5567,0,0,2.993293091884641,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,35.77,76,83.72,80.5,0.0,0.0,35.77,24,0,95385,274,2734,4,2,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,7,6.83,17,59.1,369.25,0.0,0.0,47.81,32,0,94903,28403,4770,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,66,7.61,10,85.9,5595.3,0.0,560.0,502.2600000000001,42,0,95333,3256,5137,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,37,45.06,82,100.3,3541.4,0.0,2904.0,1667.22,26,0,94579,19815,4040,0,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9,29,1.41,73,60.2,1834.15,0.0,0.0,40.89,28,3,91501,18112,5517,2,0,3.0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0
0,6,23.01,13,50.05,288.35,0.0,37.0,138.06,37,0,95125,46185,3929,1,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,16,27.24,0,20.5,290.55,0.0,0.0,435.84,30,2,91759,47,2856,0,0,2.993293091884641,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,23,1.58,47,55.3,1284.2,0.0,604.0,36.34,25,3,92024,47126,4028,0,0,2.993293091884641,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0,7,20.52,31,98.8,655.5,36.6,203.0,143.64,32,4,90804,43467,2786,0,0,2.993293091884641,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
7,54,41.58,0,24.05,1230.9,0.0,0.0,2245.32,19,2,95318,579,4039,2,0,4.0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0
1,41,15.91,32,75.92,3001.2,0.0,0.0,652.3100000000001,34,0,95662,32040,2041,4,0,2.0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0
0,70,8.39,59,98.9,6838.6,0.0,4035.0,587.3000000000001,25,0,94512,138,5980,0,0,2.993293091884641,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,41.9,71,45.55,84.4,0.0,0.0,83.8,26,0,93522,64,4372,0,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,33,48.09,9,51.45,1758.9,0.0,158.0,1586.97,42,0,93460,5710,4935,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
5,4,6.03,8,70.2,280.35,30.75,0.0,24.12,70,0,94559,26894,4444,1,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,2,37.76,11,72.8,153.05,0.0,17.0,75.52,31,0,94089,16985,2928,2,0,3.0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,13,27.04,10,56.0,764.55,0.0,7.65,351.52,63,1,90822,425,5156,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,22,37.4,0,19.95,433.5,0.0,0.0,822.8,37,1,92808,19629,2233,2,0,3.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
9,52,27.74,18,106.5,5621.85,0.0,0.0,1442.48,70,0,93239,1809,4499,0,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,20,22.31,21,54.0,1055.9,0.0,0.0,446.2,68,0,94970,781,5090,1,0,4.0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1,17,9.5,18,84.76,1329.2,0.0,239.0,161.5,70,0,95971,6189,3443,1,2,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
0,8,36.39,8,83.304,679.3,0.0,0.0,291.12,34,0,94014,47453,5071,1,3,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,23.7,19,52.468,50.45,0.0,0.0,23.7,39,0,95223,5159,2806,4,3,3.0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
7,70,0.0,30,59.5,4144.8,23.72,1243.0,0.0,21,0,95122,59841,4031,0,0,2.993293091884641,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
0,4,44.16,82,80.1,336.15,0.0,276.0,176.64,27,0,95205,34138,2333,3,0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
5,69,49.91,13,95.35,6382.0,0.0,830.0,3443.79,73,0,95545,82,6132,3,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,50,10.6,14,106.8,5347.95,0.0,74.87,530.0,66,0,96063,124,5746,0,0,2.993293091884641,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,10,15.6,22,79.85,797.25,0.0,0.0,156.0,43,0,92530,38519,5739,2,0,2.993293091884641,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,13.62,21,45.8,45.8,0.0,0.0,13.62,34,0,95684,2958,2614,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,11,38.88,33,76.44,791.75,0.0,261.0,427.68,30,0,94130,1458,4509,5,0,1.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,39,41.93,25,99.476,3759.05,0.0,940.0,1635.27,79,0,94123,22920,4892,5,0,1.0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,58,21.38,26,94.3,5610.15,5.55,1459.0,1240.04,49,0,91320,37779,6166,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,69,42.49,0,19.1,1268.85,0.0,0.0,2931.81,19,0,94526,32873,4535,0,0,2.993293091884641,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
1,46,45.92,0,20.2,917.45,0.0,0.0,2112.32,54,1,93666,306,3136,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0
0,32,31.57,4,90.95,2897.95,25.55,0.0,1010.24,80,0,94560,42491,5936,0,0,2.993293091884641,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,4,42.33,84,84.032,332.45,0.0,279.0,169.32,28,0,95815,25355,5436,1,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,70,1.22,0,25.15,1790.15,0.0,0.0,85.39999999999999,28,3,92025,49281,5114,0,0,2.993293091884641,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0
2,66,20.11,25,109.25,7082.5,0.0,0.0,1327.26,61,2,95355,47613,5865,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,45,1.57,30,96.75,4442.75,0.0,133.28,70.65,58,0,95519,15921,3682,1,1,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,26.45,46,79.45,5502.55,0.0,2531.0,1825.05,23,0,92543,29687,5189,1,0,2.993293091884641,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
1,54,42.1,13,72.956,3715.65,0.0,0.0,2273.4,50,0,92119,21866,4596,3,3,3.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
0,3,0.0,59,30.4,82.15,0.0,4.85,0.0,19,0,91214,29110,3108,1,0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8,22,7.68,7,56.25,1292.2,0.0,9.05,168.95999999999998,56,0,95556,574,3733,0,0,2.993293091884641,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0
7,14,4.45,16,78.1,1122.4,0.0,0.0,62.3,50,0,95254,304,3157,1,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9,24,8.67,10,74.8,1821.2,0.0,182.0,208.08,57,1,96106,88,5535,1,0,4.0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
8,21,0.0,59,28.5,629.35,0.0,37.13,0.0,20,0,95405,22250,3766,2,1,2.993293091884641,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,61,19.58,22,88.65,5321.25,0.0,0.0,1194.38,60,0,90064,24505,4730,1,1,2.993293091884641,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,72,22.62,27,66.75,4760.3,0.0,128.53,1628.64,56,3,92027,48690,6063,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
10,22,6.03,51,59.75,1374.35,0.0,70.09,132.66,22,0,92115,56887,3947,0,0,2.993293091884641,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
1,31,38.67,14,94.796,2995.45,0.0,419.0,1198.77,39,0,96017,228,5219,4,2,2.0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,69,37.2,30,108.108,7446.9,0.0,2234.0,2566.8,42,0,95035,62848,4283,4,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,49,47.72,21,89.85,4287.2,0.0,0.0,2338.28,70,0,93206,2078,5982,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,5,17.08,11,72.748,330.15,0.0,0.0,85.39999999999999,55,0,96007,21418,2969,1,1,2.993293091884641,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,21,28.54,42,73.7,1558.7,0.0,0.0,599.34,28,0,91962,1604,2071,0,0,2.993293091884641,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,64,0.0,30,54.6,3423.5,0.0,1027.0,0.0,48,0,90603,19109,4850,0,0,2.993293091884641,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,35,8.8,51,89.388,3110.1,0.0,1586.0,308.0,27,0,92626,48207,3833,4,0,1.0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
0,22,34.07,0,20.15,432.5,0.0,0.0,749.54,43,2,95615,699,2722,3,0,2.993293091884641,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,63,35.35,0,20.5,1328.15,15.62,0.0,2227.05,50,0,92071,53510,5997,3,0,5.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,7,36.84,19,92.924,631.85,0.0,120.0,257.88,35,0,92341,317,4154,7,2,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,36,29.27,9,70.7,2511.95,0.0,0.0,1053.72,55,0,90221,51387,3566,2,1,2.993293091884641,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,2,15.33,29,73.78800000000001,137.95,0.0,40.0,30.66,45,0,96024,960,5390,3,2,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,42,3.14,0,20.0,833.55,0.0,0.0,131.88,63,1,93035,25322,3413,2,1,3.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
6,25,37.97,22,54.3,1296.8,0.0,285.0,949.25,34,1,94525,3193,3971,2,0,2.993293091884641,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1,60,4.06,11,116.05,6925.9,0.0,762.0,243.6,70,0,92880,16998,4734,2,0,3.0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
7,36,21.77,0,20.0,666.75,0.0,0.0,783.72,47,0,95830,592,4175,1,0,3.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,9,0.0,19,39.55,373.0,0.0,71.0,0.0,34,0,95814,16599,3755,0,0,2.993293091884641,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,40,8.08,84,57.46,2139.2,0.0,1797.0,323.2,20,1,92109,46086,2810,2,0,1.0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0
0,62,23.18,18,65.1,3846.75,0.0,0.0,1437.16,45,0,92544,39264,5172,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,4,37.7,2,61.3,249.4,0.0,0.0,150.8,54,0,92276,6242,5281,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,8,46.05,24,87.36,613.4,0.0,0.0,368.4,75,0,94561,27607,4819,6,1,2.993293091884641,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,3,31.88,8,81.64,242.05,0.0,0.0,95.64,39,0,95202,7071,3567,1,1,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
5,29,36.7,69,69.05,1958.45,0.0,135.13,1064.3000000000002,26,2,90004,67852,4459,2,0,4.0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
0,15,48.93,16,97.084,1444.65,0.0,231.0,733.95,49,0,93552,25370,5264,1,1,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,32,14.21,28,104.05,3416.85,0.0,957.0,454.72,44,0,93543,11198,2335,0,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,24,27.91,59,89.55,2187.15,0.0,129.04,669.84,21,0,95054,13031,2007,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
6,46,0.0,26,40.4,1842.7,0.0,0.0,0.0,63,0,94707,11889,2519,0,0,2.993293091884641,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,46,43.04,78,109.408,4822.85,0.0,0.0,1979.84,23,0,91501,18112,3322,2,0,2.0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
4,72,5.6,19,114.5,8331.95,0.0,1583.0,403.2,75,0,93608,1766,6051,2,1,2.993293091884641,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
